image_url,generated_alt
https://www.magicalmelghat.in/public/website/image/jointlogonew.png,A historical monument
https://www.magicalmelghat.in/public/website/image/melghatlogo-name.png,A historical monument
https://www.magicalmelghat.in/public/website/image/logo.png,A historical monument
https://www.magicalmelghat.in/public/website/image/close.png,A historical monument
https://www.magicalmelghat.in/public/website/image/satymevlogo.png,A historical monument
https://www.magicalmelghat.in/public/website/image/mh-logo.png,A historical monument
https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image1.jpeg,A historical monument
https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image5.jpg,An animal in the wild
https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image4.jpg,A scenic landscape
https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image8.jpg,A historical monument
https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image6.jpg,A scenic landscape
https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image3.jpg,An animal in the wild
https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image5.jpg,An animal in the wild
https://www.magicalmelghat.in/public/website/image/hero-slider/honey_badger.png,An animal in the wild
https://www.magicalmelghat.in/public/website/image/hero-slider/frog.png,An animal in the wild
https://www.magicalmelghat.in/public/website/image/hero-slider/lion_tailed_macaque.png,An animal in the wild
https://www.magicalmelghat.in/public/website/image/hero-slider/snow_leopard.png,An animal in the wild
https://www.magicalmelghat.in/public/website/image/hero-slider/barn-owl.png,An animal in the wild
https://magicalmelghat.in/public/images/gallery/159316636314680575_1190599951006239_2231611931293505624_n.jpg,A food dish
https://magicalmelghat.in/public/images/gallery/159316637425446386_1612969112102652_3262269178880555884_n.jpg,A historical monument
https://magicalmelghat.in/public/images/gallery/159316638241930291_1936259209773639_2534260193332559872_o.jpg,An animal in the wild
https://magicalmelghat.in/public/images/gallery/159316639061276737_2306325969433626_3844622936879136768_o.jpg,An animal in the wild
https://magicalmelghat.in/public/images/gallery/159316639872626137_2668870943179125_5716639889458462720_n.jpg,An animal in the wild
https://magicalmelghat.in/public/images/gallery/159316640879669384_2714973868568832_4876283002025410560_n.jpg,An animal in the wild
https://magicalmelghat.in/public/images/gallery/159316641879856704_2714568788609340_8177676413722165248_n.jpg,An animal in the wild
https://magicalmelghat.in/public/images/gallery/159316642879966685_2714973011902251_8244248247896375296_n.jpg,An animal in the wild
https://magicalmelghat.in/public/images/gallery/159316644280033340_2714972695235616_2690914946450980864_n.jpg,An animal in the wild
